"GOV","Level of government","TAX","Tax revenue","VAR","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1987","1987","USD","US Dollar","9","Billions",,,52.555,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1988","1988","USD","US Dollar","9","Billions",,,56.497,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1989","1989","USD","US Dollar","9","Billions",,,54.879,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1990","1990","USD","US Dollar","9","Billions",,,68.606,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1991","1991","USD","US Dollar","9","Billions",,,72.452,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1992","1992","USD","US Dollar","9","Billions",,,83.239,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1993","1993","USD","US Dollar","9","Billions",,,78.586,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1994","1994","USD","US Dollar","9","Billions",,,83.57,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1995","1995","USD","US Dollar","9","Billions",,,95.285,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1996","1996","USD","US Dollar","9","Billions",,,98.804,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1997","1997","USD","US Dollar","9","Billions",,,92.91,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1998","1998","USD","US Dollar","9","Billions",,,95.407,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1999","1999","USD","US Dollar","9","Billions",,,93.59,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2000","2000","USD","US Dollar","9","Billions",,,83.241,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2001","2001","USD","US Dollar","9","Billions",,,86.671,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2002","2002","USD","US Dollar","9","Billions",,,91.238,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2003","2003","USD","US Dollar","9","Billions",,,111.087,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2004","2004","USD","US Dollar","9","Billions",,,126.337,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2005","2005","USD","US Dollar","9","Billions",,,129.503,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2006","2006","USD","US Dollar","9","Billions",,,135.839,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2007","2007","USD","US Dollar","9","Billions",,,157.63,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2008","2008","USD","US Dollar","9","Billions",,,177.77,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2009","2009","USD","US Dollar","9","Billions",,,163.992,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2010","2010","USD","US Dollar","9","Billions",,,160.51,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2011","2011","USD","US Dollar","9","Billions",,,177.319,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2012","2012","USD","US Dollar","9","Billions",,,171.067,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2013","2013","USD","US Dollar","9","Billions",,,183.326,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2014","2014","USD","US Dollar","9","Billions",,,188.738,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2015","2015","USD","US Dollar","9","Billions",,,164.7,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2016","2016","USD","US Dollar","9","Billions",,,165.116,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2017","2017","USD","US Dollar","9","Billions",,,174.337,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2018","2018","USD","US Dollar","9","Billions",,,192.157,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2019","2019","USD","US Dollar","9","Billions",,,189.456,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2020","2020","USD","US Dollar","9","Billions",,,182.549,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","2021","2021","USD","US Dollar","9","Billions",,,207.188,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1979","1979","USD","US Dollar","9","Billions",,,49.102,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1980","1980","USD","US Dollar","9","Billions",,,52.031,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1981","1981","USD","US Dollar","9","Billions",,,43.989,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1982","1982","USD","US Dollar","9","Billions",,,42.979,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1983","1983","USD","US Dollar","9","Billions",,,42.154,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1984","1984","USD","US Dollar","9","Billions",,,40.963,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1985","1985","USD","US Dollar","9","Billions",,,41.99,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1986","1986","USD","US Dollar","9","Billions",,,56.687,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1987","1987","USD","US Dollar","9","Billions",,,70.282,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1988","1988","USD","US Dollar","9","Billions",,,74.777,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1989","1989","USD","US Dollar","9","Billions",,,72.338,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","BEL","Belgium","1990","1990","USD","US Dollar","9","Billions",,,89.387,,
